document: titleLevel2,hit text: lemma,hit text: word,hit text: pos_full,count,numberOfDocs,subcorpusSize.documents,subcorpusSize.numberOfTokens
De Volkskrant,kanaal,kanaal,"nou-c(gender=n,number=sg)",1,1,63,38193
Algemeen Dagblad,leendert,leendert,nou-p(number=sg),1,1,260,101023
NRC,geest,geesten,nou-c(number=pl),1,1,76,38378
Trouw,dreiging,dreiging,"nou-c(gender=f|m,number=sg)",1,1,66,33056
NRC,beperkend,beperkende,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,76,38378
Het Parool,snappy,snappy,"nou-c(gender=f|m,number=sg)",1,1,36,22852
Trouw,€ 16,€ 16,res(type=sym),1,1,66,33056
NRC,13-jarig,13-jarige,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,76,38378
NRC,lesmateriaal,lesmateriaal,"nou-c(gender=n,number=sg)",1,1,76,38378
De Volkskrant,sociaal-economisch,sociaal-economische,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,63,38193
Het Parool,ontsieren,ontsieren,vrb(finiteness=ger|inf),1,1,36,22852
Algemeen Dagblad,bestuderen,bestudeerde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",1,1,260,101023
Algemeen Dagblad,zorgzaam,zorgzame,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,260,101023
De Volkskrant,uitweg,uitweg,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Algemeen Dagblad,omsk,omsk,nou-p(number=sg),1,1,260,101023
NRC,recentelijk,recentelijk,adv(),1,1,76,38378
Algemeen Dagblad,geldbedrag,geldbedrag,"nou-c(gender=n,number=sg)",1,1,260,101023
Algemeen Dagblad,reisorganisatie,reisorganisatie,"nou-c(gender=f|m,number=sg)",1,1,260,101023
Algemeen Dagblad,beschuldigen,beschuldigd,"vrb(finiteness=part,tense=past)",1,1,260,101023
NRC,2004,2004,"num(type=card,position=oth|pred)",1,1,76,38378
Het Parool,proeven,proefde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",1,1,36,22852
Algemeen Dagblad,busje,busjes,nou-c(number=pl),1,1,260,101023
De Volkskrant,ingaan,ingaan,vrb(finiteness=ger|inf),1,1,63,38193
Algemeen Dagblad,woongeschiedenis,woongeschiedenis,"nou-c(gender=f|m,number=sg)",1,1,260,101023
De Volkskrant,vervangen,vervangen,"vrb(finiteness=part,tense=past)",1,1,63,38193
Algemeen Dagblad,waterdruk,waterdruk,"nou-c(gender=f|m,number=sg)",1,1,260,101023
De Volkskrant,driehonderdduizend,driehonderdduizend,"num(type=card,position=prenom)",1,1,63,38193
De Volkskrant,liberia,liberia,nou-p(number=sg),1,1,63,38193
Algemeen Dagblad,sociaal-democratisch,sociaaldemocratische,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,260,101023
De Volkskrant,mantelzorg,mantelzorg,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Trouw,wereldwijd,wereldwijde,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,66,33056
Het Parool,schudden,schudden,vrb(finiteness=ger|inf),1,1,36,22852
Het Parool,innemend,innemend,"aa(degree=pos,position=adv|pred)",1,1,36,22852
Algemeen Dagblad,kist,kisten,nou-c(number=pl),1,1,260,101023
Algemeen Dagblad,glazen,glazen,"aa(degree=pos,position=prenom)",1,1,260,101023
NRC,pagina,pagina's,nou-c(number=pl),1,1,76,38378
De Volkskrant,inwisselbaar,inwisselbare,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,63,38193
De Volkskrant,down,down,"aa(degree=pos,position=prenom)",1,1,63,38193
Trouw,crossover,crossover,"nou-c(gender=f|m,number=sg)",1,1,66,33056
De Volkskrant,verlieslaten,verlieslatend,"vrb(finiteness=part,tense=pres)",1,1,63,38193
NRC,narcistisch,narcistische,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,76,38378
Algemeen Dagblad,oorschot,oorschot,nou-p(part-of-multiword=true),1,1,260,101023
De Volkskrant,slaan,sloegen,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",1,1,63,38193
Algemeen Dagblad,meedenken,meedenken,vrb(finiteness=ger|inf),1,1,260,101023
NRC,ontvoeren,ontvoeren,vrb(finiteness=ger|inf),1,1,76,38378
Het Parool,investeren,investeert,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",1,1,36,22852
De Volkskrant,rechtsbijstandverlener,rechtsbijstandverleners,nou-c(number=pl),1,1,63,38193
Het Parool,apotheek,apotheken,nou-c(number=pl),1,1,36,22852
Trouw,dordrecht,dordrecht,nou-p(number=sg),1,1,66,33056
De Volkskrant,vergelijken,vergelijken,vrb(finiteness=ger|inf),1,1,63,38193
Het Parool,binnenkort,binnenkort,adv(),1,1,36,22852
De Volkskrant,eisen,eisen,vrb(finiteness=ger|inf),1,1,63,38193
Het Parool,hergebruiken,hergebruikt,"vrb(finiteness=part,tense=past)",1,1,36,22852
Trouw,theologie,theologie,"nou-c(gender=f|m,number=sg)",1,1,66,33056
De Volkskrant,beslag,beslag,"nou-c(gender=n,number=sg)",1,1,63,38193
Trouw,79.020,79.020,"num(type=card,position=prenom)",1,1,66,33056
De Volkskrant,schikking,schikkingen,nou-c(number=pl),1,1,63,38193
De Volkskrant,developer,developer,res(type=for),1,1,63,38193
Het Parool,voorschotelen,voorgeschoteld,"vrb(finiteness=part,tense=past)",1,1,36,22852
Algemeen Dagblad,tas,tassen,nou-c(number=pl),1,1,260,101023
Algemeen Dagblad,overschrijding,overschrijding,"nou-c(gender=f|m,number=sg)",1,1,260,101023
Trouw,informeren,geinformeerd,"vrb(finiteness=part,tense=past)",1,1,66,33056
Algemeen Dagblad,opmijn,opmijn,"pd(type=poss,person=1,number=sg,position=prenom)",1,1,260,101023
Algemeen Dagblad,feliciteren,gefeliciteerd,"vrb(finiteness=part,tense=past)",1,1,260,101023
Algemeen Dagblad,21.000,21.000,"num(type=card,position=prenom)",1,1,260,101023
Trouw,bus,bussen,nou-c(number=pl),1,1,66,33056
De Volkskrant,onderliggend,onderliggende,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,63,38193
Trouw,liedje,liedjes,nou-c(number=pl),1,1,66,33056
De Volkskrant,"0,6","0,6","num(type=card,position=prenom)",1,1,63,38193
Algemeen Dagblad,dab+,dab+,res(type=sym),1,1,260,101023
Algemeen Dagblad,federatie,federatie,"nou-c(gender=f|m,number=sg)",1,1,260,101023
De Volkskrant,duidelijk,duidelijkere,"aa(degree=comp,position=prenom,formal=infl-e)",1,1,63,38193
NRC,voorval,voorvallen,nou-c(number=pl),1,1,76,38378
Algemeen Dagblad,buitenwereld,buitenwereld,"nou-c(gender=f|m,number=sg)",1,1,260,101023
NRC,zelfstandige,zelfstandigen,nou-c(number=pl),1,1,76,38378
NRC,stel,stel,"nou-c(gender=n,number=sg)",1,1,76,38378
Het Parool,presentator,presentator,"nou-c(gender=f|m,number=sg)",1,1,36,22852
De Volkskrant,raambediening,raambediening,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Algemeen Dagblad,koorlid,koorleden,nou-c(number=pl),1,1,260,101023
De Volkskrant,glitter,glitter,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Trouw,lozen,lozen,vrb(finiteness=ger|inf),1,1,66,33056
Trouw,voorgesteld,voorgestelde,"aa(position=prenom,formal=infl-e,degree=pos)",1,1,66,33056
Algemeen Dagblad,oeroud,oeroude,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,260,101023
Trouw,warmteverlies,warmteverlies,"nou-c(gender=n,number=sg)",1,1,66,33056
De Volkskrant,koningshuis,koningshuis,"nou-c(gender=n,number=sg)",1,1,63,38193
NRC,winter,winter,"nou-c(gender=f|m,number=sg)",1,1,76,38378
De Volkskrant,begeleiden,begeleiden,vrb(finiteness=ger|inf),1,1,63,38193
De Volkskrant,krankjorum,krankjorum,"aa(degree=pos,position=adv|pred)",1,1,63,38193
Algemeen Dagblad,milieu,milieus,nou-c(number=pl),1,1,260,101023
Algemeen Dagblad,vroeg,vroege,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,260,101023
Trouw,minuut,minuut,"nou-c(gender=f|m,number=sg)",1,1,66,33056
Trouw,joao,joao,nou-p(part-of-multiword=true),1,1,66,33056
Trouw,gennip,gennip,"nou-c(gender=f|m,number=sg)",1,1,66,33056
De Volkskrant,medicus,medici,nou-c(number=pl),1,1,63,38193
De Volkskrant,inkomenseis,inkomenseisen,nou-c(number=pl),1,1,63,38193
NRC,rijkdom,rijkdom,"nou-c(gender=f|m,number=sg)",1,1,76,38378
Algemeen Dagblad,music,music,nou-p(part-of-multiword=true),1,1,260,101023
Trouw,turnster,turnsters,nou-c(number=pl),1,1,66,33056
Algemeen Dagblad,bekennen,bekennen,vrb(finiteness=ger|inf),1,1,260,101023
NRC,opkomen,opkwam,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",1,1,76,38378
Algemeen Dagblad,bijten,gebeten,"vrb(finiteness=part,tense=past)",1,1,260,101023
NRC,apart,aparte,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,76,38378
Algemeen Dagblad,"matigd.,,hetten","gematigd.,,het","vrb(finiteness=part,tense=past)",1,1,260,101023
Het Parool,renovatieplan,renovatieplannen,nou-c(number=pl),1,1,36,22852
Trouw,band,band,"nou-c(gender=f|m,number=sg)",1,1,66,33056
Algemeen Dagblad,spreekstalmeester,spreekstalmeester,"nou-c(gender=f|m,number=sg)",1,1,260,101023
Trouw,tape,tape,"nou-c(gender=f|m,number=sg)",1,1,66,33056
NRC,riem,riem,"nou-c(gender=f|m,number=sg)",1,1,76,38378
Het Parool,hiphopcultuur,hiphopcultuur,"nou-c(gender=f|m,number=sg)",1,1,36,22852
De Volkskrant,melding,melding,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Het Parool,voorbeeld,voorbeeld,"nou-c(gender=n,number=sg)",1,1,36,22852
Algemeen Dagblad,dab+,dab+,nou-p(number=sg),1,1,260,101023
Algemeen Dagblad,slim,slimme,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,260,101023
Algemeen Dagblad,toegangspoort,toegangspoort,"nou-c(gender=f|m,number=sg)",1,1,260,101023
Trouw,veelvlieger,veelvlieger,"nou-c(gender=f|m,number=sg)",1,1,66,33056
Algemeen Dagblad,meetbaar,meetbaar,"aa(degree=pos,position=adv|pred)",1,1,260,101023
Trouw,grossi,grossi,nou-p(number=sg),1,1,66,33056
Trouw,telkens,telkens,adv(),1,1,66,33056
Algemeen Dagblad,music,music,res(type=for),1,1,260,101023
NRC,onderzoeksraad,onderzoeksraad,"nou-c(gender=f|m,number=sg)",1,1,76,38378
NRC,derbez,derbez,nou-p(part-of-multiword=true),1,1,76,38378
NRC,liefdeskandidaat,liefdeskandidaten,nou-c(number=pl),1,1,76,38378
Het Parool,scharen,schaart,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",1,1,36,22852
Trouw,bepaald,bepaalde,"aa(position=prenom,formal=infl-e,degree=pos)",1,1,66,33056
NRC,ontmenselijking,ontmenselijking,"nou-c(gender=f|m,number=sg)",1,1,76,38378
De Volkskrant,vennootschapsrecht,vennootschapsrecht,"nou-c(gender=n,number=sg)",1,1,63,38193
Algemeen Dagblad,goed,goed,"nou-c(gender=n,number=sg)",1,1,260,101023
Het Parool,beheer,beheer,"nou-c(gender=n,number=sg)",1,1,36,22852
Trouw,bepaald,bepaalde,nou-c(number=sg),1,1,66,33056
Algemeen Dagblad,overtrekken,overtrekken,vrb(finiteness=ger|inf),1,1,260,101023
De Volkskrant,laconiek,laconiek,"aa(degree=pos,position=adv|pred)",1,1,63,38193
Algemeen Dagblad,liniaal,liniaal,"nou-c(gender=n,number=sg)",1,1,260,101023
Algemeen Dagblad,boontjes.personeel,boontjes.personeel,"nou-c(gender=n,number=sg)",1,1,260,101023
Trouw,behoeven,behoeven,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",1,1,66,33056
Algemeen Dagblad,blaasje,blaasje,"nou-c(gender=n,number=sg)",1,1,260,101023
NRC,getraumatiseerd,getraumatiseerde,"aa(position=prenom,formal=infl-e,degree=pos)",1,1,76,38378
Het Parool,controlepost,controleposten,nou-c(number=pl),1,1,36,22852
De Volkskrant,glutenvrije,glutenvrije,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Trouw,champagne,champagne,"nou-c(gender=f|m,number=sg)",1,1,66,33056
Het Parool,meit,meit,res(type=for),1,1,36,22852
NRC,fleecedeken,fleecedekentje,"nou-c(gender=n,number=sg)",1,1,76,38378
Algemeen Dagblad,navertellen,navertellen,vrb(finiteness=ger|inf),1,1,260,101023
Algemeen Dagblad,gebroeders,gebroeders,nou-c(number=pl),1,1,260,101023
Trouw,christophe,christophe,nou-p(part-of-multiword=true),1,1,66,33056
Algemeen Dagblad,variatie,variatie,"nou-c(gender=f|m,number=sg)",1,1,260,101023
Trouw,roepen,riep,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",1,1,66,33056
Het Parool,76,76,"num(type=card,position=oth|pred)",1,1,36,22852
Trouw,staf,staf,"nou-c(gender=f|m,number=sg)",1,1,66,33056
Trouw,zijlijn,zijlijn,"nou-c(gender=f|m,number=sg)",1,1,66,33056
De Volkskrant,fietsen,fietste,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",1,1,63,38193
Trouw,materiaal,materialen,nou-c(number=pl),1,1,66,33056
De Volkskrant,underdog,underdog,"nou-c(gender=f|m,number=sg)",1,1,63,38193
NRC,3052,3052,res(type=sym),1,1,76,38378
Het Parool,tegeltje,tegeltjes,nou-c(number=pl),1,1,36,22852
NRC,interesseren,interesseert,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",1,1,76,38378
Algemeen Dagblad,sipke,sipke,nou-p(part-of-multiword=true),1,1,260,101023
Algemeen Dagblad,group,group,res(type=for),1,1,260,101023
Algemeen Dagblad,ossendamweg,ossendamweg,nou-p(number=sg),1,1,260,101023
NRC,knorrig,knorrige,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,76,38378
Algemeen Dagblad,meting,meting,"nou-c(gender=f|m,number=sg)",1,1,260,101023
Algemeen Dagblad,8ste,8ste,"nou-c(gender=f|m|n,number=sg)",1,1,260,101023
Het Parool,verontwaardiging,verontwaardiging,"nou-c(gender=f|m,number=sg)",1,1,36,22852
De Volkskrant,bas,bas,nou-p(part-of-multiword=true),1,1,63,38193
Algemeen Dagblad,preventie,preventie,"nou-c(gender=f|m,number=sg)",1,1,260,101023
De Volkskrant,hernia,hernia,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Het Parool,gruwelijk,gruwelijke,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,36,22852
NRC,concentratie,concentratie,"nou-c(gender=f|m,number=sg)",1,1,76,38378
NRC,kostuum,kostuums,nou-c(number=pl),1,1,76,38378
De Volkskrant,park,parken,nou-c(number=pl),1,1,63,38193
Algemeen Dagblad,sturen,sturen,"nou-c(gender=n,number=sg)",1,1,260,101023
De Volkskrant,sovjet-unie,sovjet-unie,nou-p(number=sg),1,1,63,38193
NRC,integriteit,integriteit,"nou-c(gender=f|m,number=sg)",1,1,76,38378
Algemeen Dagblad,tuinder,tuinders,nou-c(number=pl),1,1,260,101023
Trouw,teentje,teentjes,nou-c(number=pl),1,1,66,33056
Het Parool,saf,saf,nou-p(number=sg),1,1,36,22852
Algemeen Dagblad,ledverlichting,ledverlichting,nou-p(number=sg),1,1,260,101023
Algemeen Dagblad,knopenfabrikant,knopenfabrikant,"nou-c(gender=f|m,number=sg)",1,1,260,101023
NRC,sporty,sporty,nou-p(part-of-multiword=true),1,1,76,38378
Het Parool,menen,meent,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",1,1,36,22852
Trouw,dankzij,dankzij,"aa(degree=pos,position=adv|pred)",1,1,66,33056
Algemeen Dagblad,121,121,"num(type=card,position=prenom)",1,1,260,101023
De Volkskrant,verloren,verloren,"aa(position=prenom,degree=pos)",1,1,63,38193
Trouw,zaal,zalen,nou-c(number=pl),1,1,66,33056
NRC,thermostaat,thermostaat,"nou-c(gender=f|m,number=sg)",1,1,76,38378
Het Parool,zakken,zakt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",1,1,36,22852
Algemeen Dagblad,jaarcijfer,jaarcijfers,nou-c(number=pl),1,1,260,101023
Algemeen Dagblad,badhuisstraat,badhuisstraat,nou-p(number=sg),1,1,260,101023
De Volkskrant,middenconsole,middenconsole,"nou-c(gender=n,number=sg)",1,1,63,38193
Het Parool,typen,typten,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",1,1,36,22852
Het Parool,common,common,nou-p(part-of-multiword=true),1,1,36,22852
Algemeen Dagblad,bakwaag,bakwagen,nou-c(number=pl),1,1,260,101023
Algemeen Dagblad,aaien,geaaid,"vrb(finiteness=part,tense=past)",1,1,260,101023
Algemeen Dagblad,uitstraling,uitstraling,"nou-c(gender=f|m,number=sg)",1,1,260,101023
NRC,metten,metten,nou-c(number=pl),1,1,76,38378
Algemeen Dagblad,uitdelen,uitdelen,"nou-c(gender=n,number=sg)",1,1,260,101023
NRC,hol,hol,"aa(degree=pos,position=adv|pred)",1,1,76,38378
Algemeen Dagblad,hartelijk,hartelijk,"aa(degree=pos,position=adv|pred)",1,1,260,101023
Algemeen Dagblad,brandje,brandjes,nou-c(number=pl),1,1,260,101023
Algemeen Dagblad,w.h,w.h,nou-p(number=sg),1,1,260,101023
De Volkskrant,station,station,"nou-c(gender=n,number=sg)",1,1,63,38193
Algemeen Dagblad,adri,adri,nou-p(part-of-multiword=true),1,1,260,101023
Trouw,kastje,kastje,"nou-c(gender=n,number=sg)",1,1,66,33056
Algemeen Dagblad,sep,sep,nou-p(part-of-multiword=true),1,1,260,101023
Het Parool,schoolleider,schoolleiders,nou-c(number=pl),1,1,36,22852
De Volkskrant,love,love,res(type=for),1,1,63,38193
NRC,redenatie,redenatie,"nou-c(gender=f|m,number=sg)",1,1,76,38378
Algemeen Dagblad,urgent,urgente,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,260,101023
Trouw,gebeurtenis,gebeurtenissen,nou-c(number=pl),1,1,66,33056
De Volkskrant,hot,hot,nou-p(part-of-multiword=true),1,1,63,38193
Trouw,verkolen,verkoold,"vrb(finiteness=part,tense=past)",1,1,66,33056
Trouw,christen,christenen,nou-c(number=pl),1,1,66,33056
Trouw,aandringen,aandringen,vrb(finiteness=ger|inf),1,1,66,33056
NRC,melk,melk,"nou-c(gender=f|m,number=sg)",1,1,76,38378
Trouw,commissiemedewerker,commissiemedewerker,"nou-c(gender=f|m,number=sg)",1,1,66,33056
NRC,overtreffend,overtreffende,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,76,38378
Algemeen Dagblad,ooken,ook,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",1,1,260,101023
De Volkskrant,vu,vu,nou-p(number=sg),1,1,63,38193
De Volkskrant,kopen,kopen,"nou-c(gender=n,number=sg)",1,1,63,38193
De Volkskrant,nabijgelegen,nabijgelegen,"aa(degree=pos,position=prenom)",1,1,63,38193
Trouw,hendrick,hendrick,nou-p(part-of-multiword=true),1,1,66,33056
Algemeen Dagblad,machine,machine,"nou-c(gender=f|m,number=sg)",1,1,260,101023
NRC,stofzuigen,gestofzuigd,"vrb(finiteness=part,tense=past)",1,1,76,38378
Algemeen Dagblad,verboden,verboden,"aa(position=prenom,degree=pos)",1,1,260,101023
NRC,anti-stroopbeleid,anti-stroopbeleid,"nou-c(gender=n,number=sg)",1,1,76,38378
NRC,parry,parry,nou-p(part-of-multiword=true),1,1,76,38378
De Volkskrant,motoriek,motoriek,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Algemeen Dagblad,bijzonder,bijzonders,"aa(degree=pos,position=postnom,case=gen,formal=infl-s)",1,1,260,101023
Algemeen Dagblad,onverwerkt,onverwerkte,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,260,101023
Algemeen Dagblad,geel-blauw,geel-blauwe,"aa(position=prenom,formal=infl-e,degree=pos)",1,1,260,101023
Het Parool,schillen,schillen,vrb(finiteness=ger|inf),1,1,36,22852
NRC,tijger,tijger,"nou-c(gender=f|m,number=sg)",1,1,76,38378
De Volkskrant,blanco,blanco,"aa(degree=pos,position=adv|pred)",1,1,63,38193
De Volkskrant,zwitser,zwitser,nou-p(number=sg),1,1,63,38193
Algemeen Dagblad,voetbalnachtmerrie,voetbalnachtmerrie,"nou-c(gender=f|m,number=sg)",1,1,260,101023
Algemeen Dagblad,spoedzoeker,spoedzoekers,nou-c(number=pl),1,1,260,101023
NRC,instrument,instrumenten,nou-c(number=pl),1,1,76,38378
Algemeen Dagblad,sturen,sturen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",1,1,260,101023
Algemeen Dagblad,actualiteitenprogramma,actualiteitenprogramma,"nou-c(gender=n,number=sg)",1,1,260,101023
NRC,secuur,secuur,"aa(degree=pos,position=adv|pred)",1,1,76,38378
Algemeen Dagblad,aarzelen,aarzelden,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",1,1,260,101023
NRC,defence,defence,res(type=for),1,1,76,38378
Trouw,botsing,botsing,"nou-c(gender=f|m,number=sg)",1,1,66,33056
De Volkskrant,onontkoombaar,onontkoombare,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,63,38193
Algemeen Dagblad,ereteken,eretekens,nou-c(number=pl),1,1,260,101023
Algemeen Dagblad,pannenkoek,pannenkoek,"nou-c(gender=f|m,number=sg)",1,1,260,101023
Algemeen Dagblad,oorlogsherinnering,oorlogsherinneringen,nou-c(number=pl),1,1,260,101023
De Volkskrant,afronden,afrondde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",1,1,63,38193
NRC,0202,0202,res(type=sym),1,1,76,38378
De Volkskrant,paniek,paniek,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Trouw,haaks,haaks,"aa(degree=pos,position=adv|pred)",1,1,66,33056
Het Parool,promotie,promotie,"nou-c(gender=f|m,number=sg)",1,1,36,22852
Het Parool,benutten,benutten,vrb(finiteness=ger|inf),1,1,36,22852
Trouw,urgenda-klimaatzaak,urgenda-klimaatzaak,"nou-c(gender=f|m,number=sg)",1,1,66,33056
De Volkskrant,realistisch,realistisch,"aa(degree=pos,position=adv|pred)",1,1,63,38193
De Volkskrant,toer,toeren,nou-c(number=pl),1,1,63,38193
De Volkskrant,veilinghuis,veilinghuis,"nou-c(gender=n,number=sg)",1,1,63,38193
Algemeen Dagblad,aansporen,aansporen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",1,1,260,101023
Algemeen Dagblad,behelpen,behelpen,vrb(finiteness=ger|inf),1,1,260,101023
Trouw,minister,ministers,nou-c(number=pl),1,1,66,33056
Algemeen Dagblad,aansporen,aansporen,vrb(finiteness=ger|inf),1,1,260,101023
Het Parool,49,49,"num(type=card,position=prenom)",1,1,36,22852
Het Parool,tevreden,tevreden,"aa(degree=pos,position=adv|pred)",1,1,36,22852
Het Parool,zeventien,zeventien,"num(type=card,position=prenom)",1,1,36,22852
De Volkskrant,piek,piek,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Algemeen Dagblad,zangles,zangles,"nou-c(gender=f|m,number=sg)",1,1,260,101023
Algemeen Dagblad,roos,roos,"nou-c(gender=f|m,number=sg)",1,1,260,101023
De Volkskrant,vod,vodden,nou-c(number=pl),1,1,63,38193
De Volkskrant,arbeidspotentieel,arbeidspotentieel,"nou-c(gender=n,number=sg)",1,1,63,38193
Algemeen Dagblad,middelste,middelste,nou-c(number=sg),1,1,260,101023
De Volkskrant,verkoopsucces,verkoopsucces,"nou-c(gender=n,number=sg)",1,1,63,38193
NRC,natuurgebied,natuurgebied,"nou-c(gender=n,number=sg)",1,1,76,38378
Algemeen Dagblad,rapnummer,rapnummer,"nou-c(gender=n,number=sg)",1,1,260,101023
NRC,traag,trage,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,76,38378
Algemeen Dagblad,rondje,rondjes,nou-c(number=pl),1,1,260,101023
Algemeen Dagblad,klaarstomen,klaarstomen,vrb(finiteness=ger|inf),1,1,260,101023
Algemeen Dagblad,discussieren,gediscussieerd,"vrb(finiteness=part,tense=past)",1,1,260,101023
Het Parool,matt,matt,nou-p(part-of-multiword=true),1,1,36,22852
NRC,knop,knop,"nou-c(gender=f|m,number=sg)",1,1,76,38378
Het Parool,drukte,drukte,"nou-c(gender=f|m,number=sg)",1,1,36,22852
De Volkskrant,spenderen,spendeerden,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",1,1,63,38193
Algemeen Dagblad,implantaat,implantaten,nou-c(number=pl),1,1,260,101023
Het Parool,malversatie,malversaties,nou-c(number=pl),1,1,36,22852
Algemeen Dagblad,verschillen,verschillend,"vrb(finiteness=part,tense=pres)",1,1,260,101023
Algemeen Dagblad,qphoto,qphoto,nou-p(number=sg),1,1,260,101023
Algemeen Dagblad,cnv,cnv,nou-p(number=sg),1,1,260,101023
Het Parool,zichtbaar.,zichtbaar.,"aa(degree=pos,position=postnom,case=gen,formal=infl-s)",1,1,36,22852
Het Parool,of,of,"pd(type=w-p,position=pron)",1,1,36,22852
Algemeen Dagblad,plateauzool,plateauzolen,nou-c(number=pl),1,1,260,101023
NRC,noordelijk,noordelijker,"aa(degree=comp,position=adv|pred)",1,1,76,38378
Trouw,aanwezigheid,aanwezigheid,"nou-c(gender=f|m,number=sg)",1,1,66,33056
NRC,continuiteit,continuiteit,"nou-c(gender=f|m,number=sg)",1,1,76,38378
Algemeen Dagblad,afdoen,afgedaan,"vrb(finiteness=part,tense=past)",1,1,260,101023
NRC,opdraaien,opdraaien,vrb(finiteness=ger|inf),1,1,76,38378
NRC,bijgeloof,bijgeloof,"nou-c(gender=n,number=sg)",1,1,76,38378
NRC,bossert,bosserts,nou-c(number=pl),1,1,76,38378
Algemeen Dagblad,ruth,ruth,nou-p(number=sg),1,1,260,101023
Algemeen Dagblad,roeiboot,roeiboot,"nou-c(gender=f|m,number=sg)",1,1,260,101023
De Volkskrant,optreden,optreedt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",1,1,63,38193
NRC,aanwijzen,aangewezen,"vrb(finiteness=part,tense=past)",1,1,76,38378
Trouw,verkolen,verkoolde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",1,1,66,33056
NRC,avond,avonds,"nou-c(number=sg,case=gen)",1,1,76,38378
Trouw,joris,joris,nou-p(part-of-multiword=true),1,1,66,33056
De Volkskrant,60ste,60ste,"nou-c(gender=f|m,number=sg)",1,1,63,38193
Trouw,bagage,bagage,"nou-c(gender=f|m,number=sg)",1,1,66,33056
De Volkskrant,moos,moos,nou-p(number=sg),1,1,63,38193
Het Parool,bezoeken,bezocht,"vrb(finiteness=part,tense=past)",1,1,36,22852
De Volkskrant,tantu,tantu,nou-p(number=sg),1,1,63,38193
NRC,universiteit.d,universiteit.de,"aa(degree=pos,position=prenom,formal=infl-e)",1,1,76,38378
De Volkskrant,betoging,betogingen,nou-c(number=pl),1,1,63,38193
De Volkskrant,afhankelijk,afhankelijk,"aa(degree=pos,position=adv|pred)",1,1,63,38193
Het Parool,bezoeken,bezocht,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",1,1,36,22852
Algemeen Dagblad,aantal,aantallen,nou-c(number=pl),1,1,260,101023
NRC,besteden,besteedden,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",1,1,76,38378
Trouw,90,90,"num(type=card,position=oth|pred)",1,1,66,33056
NRC,cut,cut,res(type=for),1,1,76,38378
